transaction_id,date_time,store_location,customer_id,book_id,sale_price,payment_method,is_online
T1001,15/01/23 09:23,University,C1045,B1055,11.99,credit,0.0
T1002,15/01/23 10:15,Downtown,C1023,B1032,10.99,,
,15/01/23 10:45,,C1078,B1036,11.99,cash,0.0
T1004,15/01/23 11:30,University,C1012,B1071,13.99,credit,1.0
T1005,15/01/23 13:45,,C1034,B1075,12.99,debit,0.0
T1006,15/01/23 14:20,Downtown,C1056,B1001,8.99,,0.0
T1007,15/01/23 15:30,University,C1089,B1047,12.99,credit,0.0
T1008,15/01/23 16:45,Suburban,C1067,B1095,9.99,debit,0.0
T1009,16/01/23 09:15,University,C1023,B1013,7.99,credit,1.0
T1010,16/01/23 10:20,Downtown,C1045,B1083,10.99,cash,0.0
T1011,16/01/23 11:30,University,C1012,B1087,10.99,credit,0.0
T1012,16/01/23 13:15,Suburban,C1078,B1064,10.99,debit,0.0
T1013,16/01/23 14:25,University,C1034,B1027,10.99,credit,0.0
T1014,16/01/23 15:40,Downtown,C1056,B1059,9.99,cash,0.0
T1015,16/01/23 16:55,University,C1089,B1038,9.99,credit,0.0
T1016,17/01/23 09:30,University,C1012,B1082,12.99,debit,1.0
T1017,17/01/23 10:45,Suburban,C1067,B1097,7.99,cash,0.0
T1018,17/01/23 11:20,University,C1023,B1094,9.99,credit,0.0
T1019,17/01/23 13:30,Downtown,C1045,B1003,7.99,debit,
T1020,17/01/23 14:15,University,C1034,B1067,12.99,credit,0.0
T1021,17/01/23 15:25,Suburban,C1078,B1069,9.99,cash,0.0
T1022,17/01/23 16:40,University,C1089,B1031,11.99,credit,1.0
T1023,18/01/23 09:20,Downtown,C1056,B1066,9.99,debit,0.0
T1024,18/01/23 10:35,University,C1012,B1099,10.99,credit,0.0
T1025,18/01/23 11:45,University,C1023,B1062,11.99,cash,0.0
T1026,18/01/23 13:25,Suburban,C1067,B1077,11.99,debit,0.0
T1027,18/01/23 14:40,University,C1034,B1013,7.99,credit,0.0
T1028,18/01/23 15:50,Downtown,C1045,B1089,9.99,cash,0.0
T1029,18/01/23 16:30,University,C1089,B1052,9.99,credit,1.0
T1005,15/01/23 13:45,University,C1034,B1075,12.99,debit,0.0
T1006,15/01/23 14:20,Downtown,C1056,B1001,8.99,cash,0.0
T1007,15/01/23 15:30,University,C1089,B1047,12.99,credit,0.0
T1008,15/01/23 16:45,Suburban,C1067,B1095,9.99,debit,
T1030,19/01/23 09:15,University,C1012,B1084,8.99,debit,0.0
T1031,19/01/23 10:25,Suburban,C1078,B1008,12.99,credit,0.0
T1032,19/01/23 11:40,University,C1023,B1096,13.99,credit,0.0
T1033,19/01/23 13:50,Downtown,C1056,B1072,11.99,cash,0.0
T1034,19/01/23 14:30,University,C1034,B1090,12.99,debit,1.0
T1035,19/01/23 15:45,University,C1089,B1068,12.99,credit,0.0
T1036,20/01/23 09:20,Suburban,C1067,B1060,11.99,cash,0.0
T1037,20/01/23 10:35,University,C1012,B1047,12.99,credit,0.0
T1038,20/01/23 11:45,Downtown,C1045,B1054,12.99,debit,0.0
T1039,20/01/23 13:30,University,C1023,B1071,13.99,credit,1.0
T1040,20/01/23 14:40,University,C1034,B1087,10.99,credit,0.0
T1041,21/01/23 10:15,Suburban,C1078,B1095,9.99,cash,0.0
T1042,21/01/23 11:25,Suburban,C1067,B1097,7.99,debit,0.0
T1043,21/01/23 13:40,Suburban,C1056,B1064,10.99,credit,0.0
T1044,21/01/23 14:50,Downtown,C1089,B1001,8.99,cash,0.0
T1045,21/01/23 15:30,Downtown,C1012,B1032,10.99,credit,1.0
T1046,21/01/23 16:45,Suburban,C1023,B1036,11.99,debit,0.0
T1047,22/01/23 11:20,Suburban,C1045,B1060,11.99,credit,0.0
T1048,22/01/23 12:35,Suburban,C1034,B1077,11.99,cash,0.0
T1049,22/01/23 13:45,Downtown,C1078,B1083,10.99,credit,0.0
T1050,22/01/23 14:55,Suburban,C1067,B1095,9.99,debit,0.0
T1051,23/01/23 09:15,University,C1089,B1071,13.99,credit,0.0
T1052,23/01/23 10:30,Downtown,C1012,B1003,7.99,debit,0.0
T1053,23/01/23 11:40,University,C1023,B1082,12.99,credit,0.0
T1054,23/01/23 13:50,University,C1045,B1027,10.99,credit,1.0
T1055,2023-01-23 14:25:48,Downtown,C1034,B1066,9.99,cash,0.0
T1056,23/01/23 15:35,University,C1078,B1094,9.99,credit,0.0
T1057,23/01/23 16:45,University,C1067,B1087,10.99,debit,0.0
T1058,24/01/23 09:20,Downtown,C1056,B1059,9.99,credit,0.0
T1059,24/01/23 10:35,University,C1089,B1075,12.99,credit,1.0
T1060,24/01/23 11:45,University,C1012,B1062,11.99,cash,0.0
T1061,24/01/23 13:30,Suburban,C1023,B1008,12.99,debit,0.0
T1062,24/01/23 00:00,University,C1045,B1098,13.99,credit,0.0
T1063,2023-01-24 00:00:00,Downtown,C1034,B1032,10.99,credit,0.0
T1064,24/01/23 16:35,University,C1078,B1067,12.99,cash,1.0
T1065,25/01/23 09:25,University,C1067,B1013,7.99,credit,0.0
T1066,25/01/23 10:40,Downtown,C1056,B1089,9.99,debit,0.0
T1067,25/01/23 11:50,University,C1089,B1047,12.99,credit,0.0
T1068,2023-01-25 00:00:00,University,C1012,B1084,8.99,cash,0.0
T1069,25/01/23 14:45,Suburban,C1023,B1060,11.99,credit,1.0
T1070,25/01/23 15:55,University,C1045,B1071,13.99,debit,0.0
T1071,26/01/23 09:30,Downtown,C1034,B1001,8.99,credit,0.0
T1072,26/01/23 10:45,University,C1078,B1052,9.99,cash,0.0
T1073,26/01/23 11:55,University,C1067,B1087,10.99,credit,0.0
T1074,26/01/23 13:40,,C1056,B1095,9.99,debit,1.0
T1075,26/01/23 14:50,University,C1089,B1038,9.99,credit,0.0
T1076,26/01/23 15:35,Downtown,C1012,B1054,12.99,cash,0.0
T1077,27/01/23 09:15,University,C1023,B1099,10.99,credit,0.0
T1078,,University,C1045,B1027,10.99,debit,1.0
T1079,27/01/23 11:40,Suburban,C1034,B1064,10.99,credit,0.0
T1080,27/01/23 13:50,University,C1078,B1082,12.99,credit,0.0
T1081,27/01/23 14:30,Downtown,C1067,B1003,7.99,cash,0.0
T1082,,University,C1056,B1075,12.99,credit,0.0
T1083,,Suburban,C1089,B1036,11.99,debit,0.0
T1084,28/01/23 11:35,Suburban,C1012,B1097,7.99,credit,0.0
T1085,28/01/23 13:45,Suburban,C1023,B1060,11.99,cash,0.0
T1086,28/01/23 14:25,Downtown,C1045,B1032,10.99,credit,1.0
